name,qid,measure,value,split
LMART_L,18,nDCG@10,0.7694306446610526,train
LMART_L,18,AP(rel=3)@10,0.2266989087301587,train
LMART_L,19,recip_rank,0.3333333333333333,validation
LMART_L,19,nDCG@10,0.40502666393441916,validation
LMART_L,19,AP(rel=3)@10,0.1184782608695652,validation
LMART_L,2,recip_rank,1.0,train
LMART_L,2,nDCG@10,0.8556009872220387,train
LMART_L,2,AP(rel=3)@10,0.2108108108108108,train
LMART_L,20,recip_rank,1.0,train
LMART_L,20,nDCG@10,0.8993981342017772,train
LMART_L,20,AP(rel=3)@10,0.5,train
LMART_L,21,recip_rank,0.5,validation
LMART_L,21,nDCG@10,0.183051006736265,validation
LMART_L,21,AP(rel=3)@10,0.023297491039426525,validation
LMART_L,22,recip_rank,1.0,train
LMART_L,22,nDCG@10,0.8530751848815264,train
LMART_L,22,AP(rel=3)@10,0.2127659574468085,train
LMART_L,23,recip_rank,1.0,validation
LMART_L,23,nDCG@10,0.7297306262137971,validation
LMART_L,23,AP(rel=3)@10,0.2022792022792023,validation
LMART_L,24,recip_rank,1.0,train
LMART_L,24,nDCG@10,0.8069125851478602,train
LMART_L,24,AP(rel=3)@10,0.30952380952380953,train
LMART_L,25,recip_rank,1.0,train
LMART_L,25,nDCG@10,0.8401038793057443,train
LMART_L,25,AP(rel=3)@10,0.21428571428571427,train
LMART_L,26,recip_rank,1.0,train
LMART_L,26,nDCG@10,0.26030376470931993,train
LMART_L,26,AP(rel=3)@10,0.0,train
LMART_L,27,recip_rank,1.0,train
LMART_L,27,nDCG@10,0.39715613769552655,train
LMART_L,27,AP(rel=3)@10,0.15384615384615385,train
LMART_L,28,recip_rank,1.0,train
LMART_L,28,nDCG@10,0.4237150329102452,train
LMART_L,28,AP(rel=3)@10,0.0,train
LMART_L,29,recip_rank,1.0,test
LMART_L,29,nDCG@10,0.7026863625695828,test
LMART_L,29,AP(rel=3)@10,0.39217687074829927,test
LMART_L,3,recip_rank,1.0,train
LMART_L,3,nDCG@10,1.0,train
LMART_L,3,AP(rel=3)@10,0.19607843137254902,train
LMART_L,30,recip_rank,1.0,train
LMART_L,30,nDCG@10,0.7426844478158416,train
LMART_L,30,AP(rel=3)@10,0.24625,train
LMART_L,31,recip_rank,1.0,train
LMART_L,31,nDCG@10,0.1483884092765352,train
LMART_L,31,AP(rel=3)@10,0.0,train
LMART_L,32,recip_rank,1.0,train
LMART_L,32,nDCG@10,0.7949625541999039,train
LMART_L,32,AP(rel=3)@10,0.4796875,train
LMART_L,33,recip_rank,1.0,train
LMART_L,33,nDCG@10,0.27129993136811875,train
LMART_L,33,AP(rel=3)@10,0.06363636363636363,train
LMART_L,34,recip_rank,1.0,train
LMART_L,34,nDCG@10,0.2462039138979017,train
LMART_L,34,AP(rel=3)@10,0.05555555555555555,train
LMART_L,35,recip_rank,1.0,train
LMART_L,35,nDCG@10,0.71470886249079,train
LMART_L,35,AP(rel=3)@10,0.2802579365079365,train
LMART_L,36,recip_rank,1.0,train
LMART_L,36,nDCG@10,0.5714598838116114,train
LMART_L,36,AP(rel=3)@10,0.1173611111111111,train
LMART_L,37,recip_rank,1.0,train
LMART_L,37,nDCG@10,0.5810010493470926,train
